Order_Date,Number of Orders
2022-03-01,14
2022-03-02,44
2022-03-03,15
2022-03-04,35
2022-03-05,15
2022-03-06,41
2022-03-07,11
2022-03-08,46
2022-03-09,11
2022-03-10,42
2022-03-11,18
2022-03-12,34
2022-03-13,17
2022-03-14,39
2022-03-15,13
2022-03-16,42
2022-03-17,11
2022-03-18,38
2022-03-19,12
2022-03-20,38
2022-03-21,16
2022-03-23,35
2022-03-24,14
2022-03-25,37
2022-03-26,17
2022-03-27,34
2022-03-28,12
2022-03-29,37
2022-03-30,14
2022-03-31,41
2022-04-01,13
2022-04-02,41
2022-04-03,14
2022-04-04,34
2022-04-05,13
2022-04-06,38
