,ID,Delivery_person_ID,Delivery_person_Age,Delivery_person_Ratings,Restaurant_latitude,Restaurant_longitude,Delivery_location_latitude,Delivery_location_longitude,Order_Date,Time_Orderd,Time_Order_picked,Weatherconditions,Road_traffic_density,Vehicle_condition,Type_of_order,Type_of_vehicle,multiple_deliveries,Festival,City,Time_taken(min),Scaled_Customer_Latitude,Scaled_Customer_Longitude,K-Means Label
173,0x6cc6 ,JAPRES08DEL02 ,33,4.5,26.910262,75.783013,26.990262,75.863013,2022-03-02,1900-01-01 19:10:00,19:15:00,conditions Sunny,Jam ,1,Snack ,scooter,0,No ,Metropolitian ,(min) 18,0.45925753675845477,-0.010853389172947422,1
219,0x1e86 ,JAPRES06DEL03 ,26,4.9,26.911927,75.797282,27.051927,75.937282,2022-03-29,1900-01-01 22:55:00,23:00:00,conditions Stormy,Low ,2,Meal ,scooter,1,No ,Metropolitian ,(min) 18,1.57154304632299,1.657380958928992,1
225,0x52e2 ,JAPRES07DEL02 ,36,4.8,26.766536,75.837333,26.896536,75.967333,2022-03-20,1900-01-01 18:15:00,18:20:00,conditions Sandstorms,Medium ,0,Buffet ,motorcycle,1,No ,Metropolitian ,(min) 36,-1.2313298575405718,2.332388167788828,1
226,0x9395 ,JAPRES13DEL03 ,36,4.4,26.846156,75.8023,26.986156,75.9423,2022-03-29,1900-01-01 23:35:00,23:50:00,conditions Fog,Low ,0,Snack ,motorcycle,NaN ,No ,Metropolitian ,(min) 37,0.38519535720323994,1.7700955499264048,1
227,0xb5d2 ,JAPRES18DEL03 ,26,4.7,26.913987,75.752891,27.053987,75.892891,2022-03-04,1900-01-01 19:35:00,19:40:00,conditions Cloudy,Jam ,0,Meal ,motorcycle,1,No ,Metropolitian ,(min) 43,1.6087003989493294,0.6602678842063489,1
288,0xa053 ,JAPRES16DEL03 ,37,3.8,26.849596,75.800512,26.989596,75.940512,2022-04-04,1900-01-01 20:45:00,20:55:00,conditions Sandstorms,Jam ,1,Snack ,motorcycle,1,No ,Metropolitian ,(min) 42,0.4472445285792156,1.729933395940028,1
294,0x96d2 ,JAPRES01DEL03 ,22,4.8,26.90519,75.810753,26.99519,75.900753,2022-03-29,1900-01-01 20:40:00,20:55:00,conditions Sandstorms,Jam ,1,Snack ,scooter,1,No ,Urban ,(min) 22,0.5481465822645567,0.8368645590607084,1
327,0x7ada ,JAPRES07DEL02 ,21,4.7,26.766536,75.837333,26.896536,75.967333,2022-04-04,1900-01-01 20:30:00,20:40:00,conditions Windy,Jam ,2,Drinks ,scooter,1,No ,Metropolitian ,(min) 27,-1.2313298575405718,2.332388167788828,1
394,0x6de3 ,JAPRES20DEL03 ,37,4.9,26.956431,75.776649,27.046431,75.866649,2022-03-20,1900-01-01 19:10:00,19:25:00,conditions Fog,Jam ,0,Meal ,motorcycle,2,No ,Metropolitian ,(min) 48,1.4724086725198955,0.07081864208772518,1
467,0x3a16 ,JAPRES14DEL03 ,30,4.3,26.88842,75.800689,27.02842,75.940689,2022-03-18,1900-01-01 19:35:00,19:45:00,conditions Windy,Jam ,0,Snack ,motorcycle,1,No ,NaN ,(min) 42,1.1475343627369543,1.7339091796401878,1
477,0x6445 ,JAPRES17DEL02 ,34,3.5,26.892312,75.806896,26.972313,75.886896,2022-03-31,1900-01-01 17:35:00,17:40:00,conditions Windy,Medium ,2,Snack ,motorcycle,1,No ,Metropolitian ,(min) 32,0.13550155506419942,0.5256078656670872,1
487,0x5d2d ,JAPRES20DEL01 ,24,4.5,26.956431,75.776649,27.066431,75.886649,2022-03-08,1900-01-01 23:30:00,23:40:00,conditions Stormy,Low ,1,Meal ,scooter,1,No ,Metropolitian ,(min) 14,1.833159668892148,0.5200597381312345,1
492,0x33a0 ,JAPRES06DEL03 ,29,4.5,26.911927,75.797282,27.001927,75.887282,2022-03-31,1900-01-01 19:00:00,19:10:00,conditions Fog,Medium ,0,Drinks ,motorcycle,1,No ,Metropolitian ,(min) 37,0.6696655553924868,0.5342782188208571,1
513,0x9692 ,JAPRES17DEL02 ,39,4.9,26.892312,75.806896,26.972313,75.886896,2022-03-14,1900-01-01 21:15:00,21:25:00,conditions Windy,Jam ,0,Snack ,motorcycle,2,No ,Urban ,(min) 43,0.13550155506419942,0.5256078656670872,1
