ID,Delivery_person_ID,Delivery_person_Age,Delivery_person_Ratings,Restaurant_latitude,Restaurant_longitude,Delivery_location_latitude,Delivery_location_longitude,Order_Date,Time_Orderd,Time_Order_picked,Weatherconditions,Road_traffic_density,Vehicle_condition,Type_of_order,Type_of_vehicle,multiple_deliveries,Festival,City,Time_taken(min),Scaled_Customer_Latitude,Scaled_Customer_Longitude,K-Means Label
0x7085 ,JAPRES09DEL01 ,21,4.7,26.911378,75.789034,26.908832011884737,75.80024330582994,2022-03-03,1900-01-01 09:00:00,09:10:00,conditions Sunny,Low ,0,Meal ,motorcycle,1,No ,Metropolitian ,(min) 16,-1.3472718036499682,-1.1186665016077473,0
0x5176 ,JAPRES09DEL01 ,21,4.6,26.911378,75.789034,26.961243848419706,75.79647064290049,2022-04-01,1900-01-01 16:15:00,16:30:00,conditions Sandstorms,Medium ,0,Drinks ,motorcycle,0,No ,Metropolitian ,(min) 11,-0.3096418468161581,-1.1915702230164231,0
0x68ba ,JAPRES09DEL03 ,39,4.8,26.911378,75.789034,26.90697986404425,75.83812777381024,2022-03-09,1900-01-01 17:15:00,17:30:00,conditions Stormy,Medium ,2,Buffet ,scooter,1,No ,Urban ,(min) 30,-1.3839399345691508,-0.386579179999354,0
0x3641 ,JAPRES09DEL03 ,29,4.8,26.911378,75.789034,26.90697745203362,75.80770753463005,2022-03-15,1900-01-01 19:30:00,19:40:00,conditions Windy,Jam ,2,Drinks ,motorcycle,1,No ,Metropolitian ,(min) 25,-1.3839876866543288,-0.9744261951847872,0
0x9fa7 ,JAPRES09DEL01 ,37,4.8,26.911378,75.789034,26.96148950117432,75.81314063510501,2022-03-05,1900-01-01 16:15:00,16:20:00,conditions Windy,Medium ,1,Drinks ,scooter,0,No ,Metropolitian ,(min) 32,-0.3047785053646465,-0.8694358340475933,0
0x9341 ,JAPRES09DEL02 ,34,4.7,26.911378,75.789034,26.91343644942958,75.88150336182785,2022-03-07,1900-01-01 17:50:00,17:55:00,conditions Sunny,Medium ,1,Drinks ,scooter,1,No ,Metropolitian ,(min) 21,-1.2561148695152369,0.4516196848100961,0
0x5599 ,JAPRES09DEL02 ,31,4.2,26.911378,75.789034,26.96462226408004,75.78482816277152,2022-03-07,1900-01-01 08:50:00,09:05:00,conditions Stormy,Low ,0,Buffet ,motorcycle,0,No ,Metropolitian ,(min) 33,-0.2427572358663738,-1.4165519252519485,0
0x4804 ,JAPRES09DEL02 ,28,5,26.911378,75.789034,26.902611911067822,75.82503240460342,2022-04-05,1900-01-01 12:00:00,12:10:00,conditions Stormy,High ,2,Drinks ,motorcycle,0,No ,Metropolitian ,(min) 21,-1.4704150355771255,-0.6396368123008064,0
0x6132 ,JAPRES09DEL03 ,22,4.6,26.911378,75.789034,26.920500914019804,75.85875557579533,2022-04-01,1900-01-01 18:35:00,18:40:00,conditions Sandstorms,Medium ,0,Meal ,motorcycle,1,No ,Metropolitian ,(min) 28,-1.11625523908768,0.0120367465534563,0
0x9260 ,JAPRES09DEL03 ,28,4.4,26.911378,75.789034,26.920592464853524,75.80293697910487,2022-03-17,1900-01-01 23:35:00,23:45:00,conditions Stormy,Low ,0,Buffet ,motorcycle,1,No ,Metropolitian ,(min) 24,-1.11444274988828,-1.066613400211173,0
0x99e3 ,JAPRES09DEL01 ,21,4.7,26.911378,75.789034,26.96801418432937,75.84395495746126,2022-03-12,1900-01-01 19:00:00,19:10:00,conditions Sunny,Medium ,0,Meal ,motorcycle,0,No ,Metropolitian ,(min) 22,-0.1756052661095811,-0.273973473781853,0
0x3f5c ,JAPRES09DEL03 ,25,4.8,26.911378,75.789034,26.966984998421704,75.87162956788703,2022-03-09,1900-01-01 21:10:00,21:20:00,conditions Fog,Jam ,2,Snack ,motorcycle,1,No ,Urban ,(min) 23,-0.1959807041698786,0.2608164415387163,0
0xa686 ,JAPRES09DEL03 ,23,4.9,26.911378,75.789034,26.926023041272,75.8074479964995,2022-03-28,1900-01-01 21:30:00,21:40:00,conditions Stormy,Jam ,0,Snack ,motorcycle,1,No ,Metropolitian ,(min) 26,-1.0069302270075584,-0.979441563882802,0
0x1c66 ,JAPRES09DEL02 ,29,4.2,26.911378,75.789034,26.972132485190144,75.80519687140946,2022-03-21,1900-01-01 21:40:00,21:45:00,conditions Fog,Jam ,1,Buffet ,motorcycle,1,No ,Metropolitian ,(min) 32,-0.0940726844084346,-1.022942772310228,0
0x8388 ,JAPRES09DEL03 ,23,4.7,26.911378,75.789034,26.90843041236873,75.85888941885271,2022-03-11,1900-01-01 17:10:00,17:15:00,conditions Fog,Medium ,1,Drinks ,scooter,1,No ,Metropolitian ,(min) 14,-1.355222520816319,0.0146231575714744,0
