Cluster,Capacity,Distance,Number of Vehicles,Objective,Total Distance of Route,Total Load of Route
0,30,60000,1,,,
0,30,60000,2,9032.0,65420.0,8.0
0,30,60000,3,9032.0,65420.0,8.0
0,30,60000,4,9032.0,65420.0,8.0
0,30,60000,5,9032.0,65420.0,8.0
0,30,60000,6,9032.0,65420.0,8.0
0,30,60000,7,9032.0,65420.0,8.0
0,30,60000,8,9032.0,65420.0,8.0
0,30,90000,1,,,
0,30,90000,2,9032.0,65420.0,8.0
0,30,90000,3,9032.0,65420.0,8.0
0,30,90000,4,9032.0,65420.0,8.0
0,30,90000,5,9032.0,65420.0,8.0
0,30,90000,6,9032.0,65420.0,8.0
0,30,90000,7,9032.0,65420.0,8.0
0,30,90000,8,9032.0,65420.0,8.0
