Order_Date,Number_of_Deliveries
2022-03-01,5
2022-03-02,1
2022-03-03,5
2022-03-04,0
2022-03-05,4
2022-03-06,1
2022-03-07,5
2022-03-08,1
2022-03-09,4
2022-03-10,0
2022-03-11,3
2022-03-12,1
2022-03-13,5
2022-03-14,1
2022-03-15,4
2022-03-16,0
2022-03-17,5
2022-03-18,0
2022-03-19,3
2022-03-20,0
2022-03-21,6
2022-03-22,0
2022-03-23,0
2022-03-24,3
2022-03-25,0
2022-03-26,6
2022-03-27,1
2022-03-28,4
2022-03-29,1
2022-03-30,5
2022-03-31,1
2022-04-01,6
2022-04-02,2
2022-04-03,6
2022-04-04,2
2022-04-05,3
2022-04-06,1
