ID,Delivery_person_ID,Delivery_person_Age,Delivery_person_Ratings,Restaurant_latitude,Restaurant_longitude,Delivery_location_latitude,Delivery_location_longitude,Order_Date,Time_Orderd,Time_Order_picked,Weatherconditions,Road_traffic_density,Vehicle_condition,Type_of_order,Type_of_vehicle,multiple_deliveries,Festival,City,Time_taken(min),Scaled_Customer_Latitude,Scaled_Customer_Longitude,K-Means Label
0x7085 ,JAPRES09DEL01 ,21,4.7,26.911378,75.789034,26.908832011884737,75.80024330582994,2022-03-03,1900-01-01 09:00:00,09:10:00,conditions Sunny,Low ,0,Meal ,motorcycle,1,No ,Metropolitian ,(min) 16,-1.3472718036499682,-1.1186665016077473,0
0x5d7a ,JAPRES09DEL01 ,20,5,26.911378,75.789034,27.02644943064099,75.83168357751978,2022-03-18,1900-01-01 19:00:00,19:15:00,conditions Sunny,Medium ,0,Snack ,motorcycle,1,No ,Metropolitian ,(min) 22,0.981273906927031,-0.5111081665131373,1
0x25eb ,JAPRES09DEL03 ,23,4.7,26.911378,75.789034,27.07457739418114,75.94355127904095,2022-03-14,1900-01-01 21:00:00,21:10:00,conditions Fog,Jam ,0,Snack ,motorcycle,1,No ,Metropolitian ,(min) 42,1.934093346813469,1.650646514156809,1
0x5176 ,JAPRES09DEL01 ,21,4.6,26.911378,75.789034,26.961243848419702,75.79647064290049,2022-04-01,1900-01-01 16:15:00,16:30:00,conditions Sandstorms,Medium ,0,Drinks ,motorcycle,0,No ,Metropolitian ,(min) 11,-0.30964184681615814,-1.1915702230164233,0
0x68ba ,JAPRES09DEL03 ,39,4.8,26.911378,75.789034,26.906979864044246,75.83812777381024,2022-03-09,1900-01-01 17:15:00,17:30:00,conditions Stormy,Medium ,2,Buffet ,scooter,1,No ,Urban ,(min) 30,-1.3839399345691508,-0.386579179999354,0
0x3641 ,JAPRES09DEL03 ,29,4.8,26.911378,75.789034,26.90697745203362,75.80770753463005,2022-03-15,1900-01-01 19:30:00,19:40:00,conditions Windy,Jam ,2,Drinks ,motorcycle,1,No ,Metropolitian ,(min) 25,-1.3839876866543288,-0.9744261951847872,0
0x12ad ,JAPRES09DEL03 ,32,4,26.911378,75.789034,27.00718636121682,75.97270699887368,2022-03-29,1900-01-01 19:45:00,19:50:00,conditions Stormy,Jam ,0,Drinks ,motorcycle,1,No ,Metropolitian ,(min) 51,0.5999108558201723,2.2140576950398043,1
0x1a4f ,JAPRES09DEL03 ,26,4,26.911378,75.789034,27.087995614577494,75.8927860944146,2022-03-08,1900-01-01 22:00:00,22:10:00,conditions Cloudy,Jam ,1,Drinks ,motorcycle,3,No ,Urban ,(min) 43,2.19974226070654,0.6696495508795249,1
0x9fa7 ,JAPRES09DEL01 ,37,4.8,26.911378,75.789034,26.96148950117432,75.81314063510501,2022-03-05,1900-01-01 16:15:00,16:20:00,conditions Windy,Medium ,1,Drinks ,scooter,0,No ,Metropolitian ,(min) 32,-0.30477850536464657,-0.8694358340475933,0
0x5dc2 ,JAPRES09DEL02 ,32,4.7,26.911378,75.789034,27.012185257779606,75.83038135212406,2022-03-12,1900-01-01 21:55:00,22:10:00,conditions Sunny,Jam ,2,Snack ,scooter,1,No ,Urban ,(min) 16,0.6988771422085407,-0.5362726403174912,1
0x9341 ,JAPRES09DEL02 ,34,4.7,26.911378,75.789034,26.91343644942958,75.88150336182785,2022-03-07,1900-01-01 17:50:00,17:55:00,conditions Sunny,Medium ,1,Drinks ,scooter,1,No ,Metropolitian ,(min) 21,-1.2561148695152369,0.4516196848100961,0
0x7704 ,JAPRES09DEL02 ,34,4.1,26.911378,75.789034,27.0083689852162,75.8767679353381,2022-03-19,1900-01-01 20:45:00,20:50:00,conditions Cloudy,Jam ,1,Snack ,scooter,1,No ,Metropolitian ,(min) 38,0.6233240038904341,0.3601113205547633,1
0x5599 ,JAPRES09DEL02 ,31,4.2,26.911378,75.789034,26.96462226408004,75.78482816277152,2022-03-07,1900-01-01 08:50:00,09:05:00,conditions Stormy,Low ,0,Buffet ,motorcycle,0,No ,Metropolitian ,(min) 33,-0.24275723586637382,-1.4165519252519485,0
0x4804 ,JAPRES09DEL02 ,28,5,26.911378,75.789034,26.902611911067826,75.82503240460342,2022-04-05,1900-01-01 12:00:00,12:10:00,conditions Stormy,High ,2,Drinks ,motorcycle,0,No ,Metropolitian ,(min) 21,-1.4704150355771257,-0.6396368123008064,0
0x5daa ,JAPRES09DEL02 ,39,5,26.911378,75.789034,27.009560496720713,75.95075622002012,2022-04-04,1900-01-01 22:35:00,22:40:00,conditions Windy,Low ,2,Buffet ,motorcycle,0,No ,Metropolitian ,(min) 17,0.6469131034666147,1.7898762889166302,1
0xa7e6 ,JAPRES09DEL03 ,32,4.5,26.911378,75.789034,27.019718450985344,75.93455408115994,2022-04-02,1900-01-01 19:25:00,19:40:00,conditions Fog,Jam ,0,Buffet ,motorcycle,1,No ,Metropolitian ,(min) 43,0.8480164866326976,1.4767827950699486,1
0x3926 ,JAPRES09DEL02 ,23,4.6,26.911378,75.789034,27.021802224295957,75.92199905783559,2022-03-31,1900-01-01 23:55:00,00:10:00,conditions Windy,Low ,1,Meal ,scooter,1,No ,Metropolitian ,(min) 19,0.8892702520660091,1.234166918742089,1
