ID,Delivery_person_ID,Delivery_person_Age,Delivery_person_Ratings,Restaurant_latitude,Restaurant_longitude,Delivery_location_latitude,Delivery_location_longitude,Order_Date,Time_Orderd,Time_Order_picked,Weatherconditions,Road_traffic_density,Vehicle_condition,Type_of_order,Type_of_vehicle,multiple_deliveries,Festival,City,Time_taken(min)
0x7085 ,JAPRES09DEL01 ,21,4.7,26.911378,75.789034,26.921378,75.799034,2022-03-03,1900-01-01 09:00:00,09:10:00,conditions Sunny,Low ,0,Meal ,motorcycle,1,No ,Metropolitian ,(min) 16
0x5d7a ,JAPRES09DEL01 ,20,5,26.911378,75.789034,26.981378,75.859034,2022-03-18,1900-01-01 19:00:00,19:15:00,conditions Sunny,Medium ,0,Snack ,motorcycle,1,No ,Metropolitian ,(min) 22
0x25eb ,JAPRES09DEL03 ,23,4.7,26.911378,75.789034,27.051378,75.929034,2022-03-14,1900-01-01 21:00:00,21:10:00,conditions Fog,Jam ,0,Snack ,motorcycle,1,No ,Metropolitian ,(min) 42
0x5176 ,JAPRES09DEL01 ,21,4.6,26.911378,75.789034,26.951378,75.829034,2022-04-01,1900-01-01 16:15:00,16:30:00,conditions Sandstorms,Medium ,0,Drinks ,motorcycle,0,No ,Metropolitian ,(min) 11
0x68ba ,JAPRES09DEL03 ,39,4.8,26.911378,75.789034,26.941378,75.819034,2022-03-09,1900-01-01 17:15:00,17:30:00,conditions Stormy,Medium ,2,Buffet ,scooter,1,No ,Urban ,(min) 30
0x3641 ,JAPRES09DEL03 ,29,4.8,26.911378,75.789034,26.941378,75.819034,2022-03-15,1900-01-01 19:30:00,19:40:00,conditions Windy,Jam ,2,Drinks ,motorcycle,1,No ,Metropolitian ,(min) 25
0x12ad ,JAPRES09DEL03 ,32,4,26.911378,75.789034,27.051378,75.929034,2022-03-29,1900-01-01 19:45:00,19:50:00,conditions Stormy,Jam ,0,Drinks ,motorcycle,1,No ,Metropolitian ,(min) 51
0x1a4f ,JAPRES09DEL03 ,26,4,26.911378,75.789034,27.051378,75.929034,2022-03-08,1900-01-01 22:00:00,22:10:00,conditions Cloudy,Jam ,1,Drinks ,motorcycle,3,No ,Urban ,(min) 43
0x9fa7 ,JAPRES09DEL01 ,37,4.8,26.911378,75.789034,26.951378,75.829034,2022-03-05,1900-01-01 16:15:00,16:20:00,conditions Windy,Medium ,1,Drinks ,scooter,0,No ,Metropolitian ,(min) 32
0x5dc2 ,JAPRES09DEL02 ,32,4.7,26.911378,75.789034,26.991378,75.869034,2022-03-12,1900-01-01 21:55:00,22:10:00,conditions Sunny,Jam ,2,Snack ,scooter,1,No ,Urban ,(min) 16
0x9341 ,JAPRES09DEL02 ,34,4.7,26.911378,75.789034,26.961378,75.839034,2022-03-07,1900-01-01 17:50:00,17:55:00,conditions Sunny,Medium ,1,Drinks ,scooter,1,No ,Metropolitian ,(min) 21
0x7704 ,JAPRES09DEL02 ,34,4.1,26.911378,75.789034,26.961378,75.839034,2022-03-19,1900-01-01 20:45:00,20:50:00,conditions Cloudy,Jam ,1,Snack ,scooter,1,No ,Metropolitian ,(min) 38
0x5599 ,JAPRES09DEL02 ,31,4.2,26.911378,75.789034,26.931378,75.809034,2022-03-07,1900-01-01 08:50:00,09:05:00,conditions Stormy,Low ,0,Buffet ,motorcycle,0,No ,Metropolitian ,(min) 33
0x4804 ,JAPRES09DEL02 ,28,5,26.911378,75.789034,26.931378,75.809034,2022-04-05,1900-01-01 12:00:00,12:10:00,conditions Stormy,High ,2,Drinks ,motorcycle,0,No ,Metropolitian ,(min) 21
0x5daa ,JAPRES09DEL02 ,39,5,26.911378,75.789034,27.041378,75.919034,2022-04-04,1900-01-01 22:35:00,22:40:00,conditions Windy,Low ,2,Buffet ,motorcycle,0,No ,Metropolitian ,(min) 17
0xa7e6 ,JAPRES09DEL03 ,32,4.5,26.911378,75.789034,27.051378,75.929034,2022-04-02,1900-01-01 19:25:00,19:40:00,conditions Fog,Jam ,0,Buffet ,motorcycle,1,No ,Metropolitian ,(min) 43
0x3926 ,JAPRES09DEL02 ,23,4.6,26.911378,75.789034,27.041378,75.919034,2022-03-31,1900-01-01 23:55:00,00:10:00,conditions Windy,Low ,1,Meal ,scooter,1,No ,Metropolitian ,(min) 19
0x8730 ,JAPRES09DEL03 ,29,4.8,26.911378,75.789034,27.001378,75.879034,2022-03-16,1900-01-01 17:15:00,17:20:00,conditions Stormy,Medium ,1,Meal ,scooter,1,No ,Urban ,(min) 26
0x7a0c ,JAPRES09DEL01 ,39,4.7,26.911378,75.789034,27.021378,75.899034,2022-03-23,1900-01-01 21:45:00,21:55:00,conditions Fog,Jam ,0,Buffet ,motorcycle,3,Yes ,Semi-Urban ,(min) 54
0x6132 ,JAPRES09DEL03 ,22,4.6,26.911378,75.789034,26.941378,75.819034,2022-04-01,1900-01-01 18:35:00,18:40:00,conditions Sandstorms,Medium ,0,Meal ,motorcycle,1,No ,Metropolitian ,(min) 28
0x8d78 ,JAPRES09DEL01 ,39,4.7,26.911378,75.789034,27.021378,75.899034,2022-03-06,1900-01-01 20:15:00,20:20:00,conditions Stormy,Jam ,1,Drinks ,scooter,1,No ,Metropolitian ,(min) 26
0x93dc ,JAPRES09DEL03 ,21,4.7,26.911378,75.789034,27.001378,75.879034,2022-03-02,1900-01-01 20:30:00,20:40:00,conditions Fog,Jam ,0,Snack ,motorcycle,1,No ,Urban ,(min) 38
0x9260 ,JAPRES09DEL03 ,28,4.4,26.911378,75.789034,26.941378,75.819034,2022-03-17,1900-01-01 23:35:00,23:45:00,conditions Stormy,Low ,0,Buffet ,motorcycle,1,No ,Metropolitian ,(min) 24
0x99e3 ,JAPRES09DEL01 ,21,4.7,26.911378,75.789034,26.981378,75.859034,2022-03-12,1900-01-01 19:00:00,19:10:00,conditions Sunny,Medium ,0,Meal ,motorcycle,0,No ,Metropolitian ,(min) 22
0x3f5c ,JAPRES09DEL03 ,25,4.8,26.911378,75.789034,26.971378,75.849034,2022-03-09,1900-01-01 21:10:00,21:20:00,conditions Fog,Jam ,2,Snack ,motorcycle,1,No ,Urban ,(min) 23
0x810a ,JAPRES09DEL02 ,30,4.8,26.911378,75.789034,26.961378,75.839034,2022-03-05,1900-01-01 23:15:00,23:20:00,conditions Windy,Low ,1,Meal ,motorcycle,0,No ,Metropolitian ,(min) 24
0xe38 ,JAPRES09DEL02 ,35,4.7,26.911378,75.789034,26.991378,75.869034,2022-03-10,1900-01-01 21:00:00,21:10:00,conditions Fog,Jam ,0,Buffet ,motorcycle,1,No ,Metropolitian ,(min) 50
0x4ff6 ,JAPRES09DEL02 ,32,4.6,26.911378,75.789034,26.991378,75.869034,2022-03-31,1900-01-01 17:10:00,17:25:00,conditions Sunny,Medium ,1,Drinks ,scooter,1,No ,Metropolitian ,(min) 25
0xb494 ,JAPRES09DEL01 ,38,4.3,26.911378,75.789034,27.021378,75.899034,2022-03-12,1900-01-01 17:10:00,17:15:00,conditions Sunny,Medium ,0,Meal ,motorcycle,0,No ,Metropolitian ,(min) 39
0xa686 ,JAPRES09DEL03 ,23,4.9,26.911378,75.789034,26.971378,75.849034,2022-03-28,1900-01-01 21:30:00,21:40:00,conditions Stormy,Jam ,0,Snack ,motorcycle,1,No ,Metropolitian ,(min) 26
0x1c66 ,JAPRES09DEL02 ,29,4.2,26.911378,75.789034,26.961378,75.839034,2022-03-21,1900-01-01 21:40:00,21:45:00,conditions Fog,Jam ,1,Buffet ,motorcycle,1,No ,Metropolitian ,(min) 32
