Cluster,Capacity,Distance,Number of Vehicles,Objective,Total Distance of Route,Total Load of Route
0,30,60000,1,,,
0,30,60000,2,10346.0,64980.0,9.0
0,30,60000,3,10346.0,64980.0,9.0
0,30,60000,4,10346.0,64980.0,9.0
0,30,60000,5,10346.0,64980.0,9.0
0,30,60000,6,10346.0,64980.0,9.0
0,30,60000,7,10346.0,64980.0,9.0
0,30,60000,8,10346.0,64980.0,9.0
0,30,90000,1,,,
0,30,90000,2,10346.0,64980.0,9.0
0,30,90000,3,10346.0,64980.0,9.0
0,30,90000,4,10346.0,64980.0,9.0
0,30,90000,5,10346.0,64980.0,9.0
0,30,90000,6,10346.0,64980.0,9.0
0,30,90000,7,10346.0,64980.0,9.0
0,30,90000,8,10346.0,64980.0,9.0
