Cluster,Capacity,Distance,Number of Vehicles,Objective,Total Distance of Route,Total Load of Route
1,120,60000,1,,,
1,120,60000,2,,,
1,120,60000,3,,,
1,120,60000,4,,,
1,120,60000,5,,,
1,120,60000,6,,,
1,120,60000,7,,,
1,120,60000,8,,,
1,70,100000,1,,,
1,70,100000,2,15292.0,124277.0,12.0
1,70,100000,3,15292.0,124277.0,12.0
1,70,100000,4,15292.0,124277.0,12.0
1,70,100000,5,15292.0,124277.0,12.0
1,70,100000,6,15292.0,124277.0,12.0
1,70,100000,7,15292.0,124277.0,12.0
1,70,100000,8,15292.0,124277.0,12.0
