Cluster,Capacity,Distance,Number of Vehicles,Objective,Total Distance of Route,Total Load of Route
1,30,60000,1,,,
1,30,60000,2,,,
1,30,60000,3,18107.0,135318.0,12.0
1,30,60000,4,18107.0,135318.0,12.0
1,30,60000,5,18107.0,135318.0,12.0
1,30,60000,6,18107.0,135318.0,12.0
1,30,60000,7,18107.0,135318.0,12.0
1,30,60000,8,18107.0,135318.0,12.0
1,30,90000,1,,,
1,30,90000,2,,,
1,30,90000,3,18107.0,135318.0,12.0
1,30,90000,4,18107.0,135318.0,12.0
1,30,90000,5,18107.0,135318.0,12.0
1,30,90000,6,18107.0,135318.0,12.0
1,30,90000,7,18107.0,135318.0,12.0
1,30,90000,8,18107.0,135318.0,12.0
