Cluster,Capacity,Distance,Number of Vehicles,Objective,Total Distance of Route,Total Load of Route
0,120,60000,1,,,
0,120,60000,2,,,
0,120,60000,3,13281.0,77673.0,9.0
0,120,60000,4,13281.0,77673.0,9.0
0,120,60000,5,13281.0,77673.0,9.0
0,120,60000,6,13281.0,77673.0,9.0
0,120,60000,7,13281.0,77673.0,9.0
0,120,60000,8,13281.0,77673.0,9.0
0,70,100000,1,,,
0,70,100000,2,,,
0,70,100000,3,13281.0,77673.0,9.0
0,70,100000,4,13281.0,77673.0,9.0
0,70,100000,5,13281.0,77673.0,9.0
0,70,100000,6,13281.0,77673.0,9.0
0,70,100000,7,13281.0,77673.0,9.0
0,70,100000,8,13281.0,77673.0,9.0
